example_id,customer_text,brand_response,intent,escalation,notes
35,"@AppleSupport my account has gone for recovery mode since Jun 27 , but yet get the resolution everytime CS assures to provide instru mail -1",@160180 We want to ensure we get you in the right direction for help. Reach out to our Apple ID team here: https://t.co/UJm15vmMM2,apple_id_account,yes,
36,@AppleSupport The ‘Apple Store’ app does not allow you to update your primary payment information. #iphonex,@421915 We'd like to gather some more information for better troubleshooting. Can you DM us the country you are located in? https://t.co/GDrqU22YpT,payments_billing,yes,
37,@AppleSupport I wanted to see if the health of my battery is deteriorating or not,@437758 Which device and OS version are you using? What's got you wanting to check if your batter is deteriorating?,battery,no,
38,My #iphone5s drains battery even when I am not using it @115858 is there any way to sort it out my problem....even in flight mode battery drains I am using #ios11.1.1,@719132 We're happy to help with steps to improve your battery performance. Send us a DM with which country you're in to get started. https://t.co/GDrqU22YpT,battery,no,
39,my apps keep crashing... @AppleSupport @115858 help ?,@607645 We want you to be able to enjoy your apps; we'll do all we can to help. Connect with us in DM to continue: https://t.co/GDrqU22YpT,device_performance,no,
40,So I had to reset my phone because my camera wasn’t working and now I’ve lost loads of my photos that were on my phone 😭 @AppleSupport,"@429692 We know how special your photos are, and we'll gladly assist. 

To start, please take a look at this article for suggestions to help recover your photos: https://t.co/6F4UE9hI51",other_unclear,no,
41,@AppleSupport My phone no longer works .. The apple sign shows then stops working,"@223011 We'd like to help out. If it won't respond at all, we'd want to use these steps for recovery: https://t.co/iYLZzFD8qZ",apps_features,no,
42,"Hey @115858 please fix the text replacement glitch, it’s maddening :(","@650799 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. DM us if needed for further help. For more info, check out: https://t.co/ui8Itz8ESg https://t.co/GDrqU22YpT",repair_support,no,
43,Pissed that the brand new iPhone I just bought Alex not even two months ago won’t even turn on!!! @AppleSupport,"@284307 We want Alex to be able to enjoy the iPhone and we'll do all we can to help. To get started, if you haven't already, let's try the steps provided in this article: https://t.co/H7w57rsYVQ",orders_sales,yes,
44,@AppleSupport but it doesn’t work and I can’t activate my phone...,@478105 We'd love to help with this. We've received your DM and will work with you from there.,other_unclear,no,
45,@AppleSupport the computer wont boot. It gets stuck on the first screen. I was using recovery to help fix it https://t.co/J4R3GLfqsy,"@733721 Were you able to test a different internet connection? Please let us know in DM, and we'll continue there. https://t.co/GDrqU22YpT",repair_support,no,
46,"@115858, before releasing new any new OS, it’d be great if you could fix the sluggishness and bugs of existing ones like #iOS11 and #WatchOS4. Still battery drains on my 6S and chunky animation while switching #AppleWatch faces. #fail #pleaselistentoyourcustomers","@359621 Thanks for reaching out to us for support. We would love to help you. When you have a free moment, can you please tell us which version of iOS you are currently running on your iPhone 6S?",battery,no,
47,How you gone sale me a new phone  that doesn’t work @AppleSupport I’m so mad I probably Shud stop buying your products,@299983 We’d like to assist you. What’s going on with your iPhone?,orders_sales,yes,
48,@AppleSupport these autocorrect typos are weakening my social game! 😂 😑,"@167833 Please let us know exactly what's going on. Are these issues occurring when typing certain letters on your device? If so, please take a moment to back up your device and ensure your device is fully updated. Here's a guide: https://t.co/ahjigcvFRG",apps_features,no,
49,@AppleSupport Ever since updating to #HighSierra I've been getting this message daily even though I select Always Allow. Suggestions? https://t.co/NXVF1Vnc9w,@602255 We're here for you. Use this to help manage Keychain Access certificates: https://t.co/DurKAPwpL2 DM us for more help. https://t.co/GDrqU22YpT,software_update,no,
50,@AppleSupport why does my phone keep restarting ??? it’s getting annoying !,@645435 This is certainly not the behavior we want you to experience. You're in great hands for support. Let's look into this together. Could you tell us which iPhone and iOS version you're using? Here's a link to help locate your iOS version: https://t.co/ZTw54HL4Rm,device_performance,no,
51,"@AppleSupport I am on iOS 11.2, have turned on two factor auth, have debit and credit cards, but Apple Pay Cash is not available in my wallet settings. Whats up?","@249475 If you're in the US, those features will require iOS 11.2 and will begin rolling out early next week.",payments_billing,yes,
52,@AppleSupport It seems to just iCloud Photo Library.  I can air drop from iPad Pro 12.9 to phone and then sync works to other devices like iPad Pro 9.7,@316511 Got it! Let's get you linked up with one of our Photos specialists for more. You can reach them here: https://t.co/IBIY3vMgPj,apple_id_account,yes,
53,@AppleSupport my iPhone is acting really retarded after you guys launched iPhone x now I can make certain calls and my whole system is slow,@586696 We're happy to look into these issue with you. Please DM us the iOS version currently installed to get started. https://t.co/GDrqU22YpT,device_performance,no,
54,Shall I buy iPad 5 or iPad pro? Confused!! @115858 @AppleSupport,@425211 We have a great team that can help you look into this. Please reach out to us via: https://t.co/8yjRd1Xo0i,orders_sales,yes,
55,"Mbp15 2012, 10.13.1. После сброса nvram, после ввода пароля пользователя такое. То же самое при загрузке с usb установщика 10.13. Загрузиться удаётся только в recovery password. Что делать?
@149264 RT please! CC @AppleSupport https://t.co/V5KvQTzFnr",@149263 We offer support via Twitter in English. Contact an Advisor for help in your preferred language here: https://t.co/IBIY3vMgPj,apple_id_account,yes,
56,New iOS upgrade supposed to fix keyboard autocorrect problems. Worse than ever. Fix it #iPad @115858,@672981 Thanks for reaching out to us. We are always happy to help. What's going on with your iPad after the update?,apps_features,no,
57,@AppleSupport @115858 why are you so bad? what the hell is going on with messages? I'm not buying your shit anymore if this is indicative of the quality you now put into your products https://t.co/LE9ZTUh0kb,@646928 We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance. https://t.co/GDrqU22YpT,orders_sales,yes,
58,why isn’t my @115888 app not on my home screens?  @AppleSupport i pay for the service &amp; now i have to open it from the App Store. 😡,@190089 We’d like to help however we can. Send us a DM with the device you are using and we'll go from there. https://t.co/GDrqU22YpT,repair_support,no,
59,@AppleSupport it seems the problem was with my service provider and it has now been resolved! Thank you for contacting me!,@217163 That's great news. Please reach out anytime!,repair_support,no,
60,@AppleSupport any to check the overall battery health of my iPhone 7+ ?,@797359 We're happy to help. DM us your country and iOS version so we can look into your options: https://t.co/GDrqU22YpT,battery,no,
61,@AppleSupport I forgot my password and I’m waiting for my new ID for over one week!!! I called many times but nothing!!! I’m very upset,@678360 Thanks for reaching out. This article will show you how to check the status of your Account Recovery request: https://t.co/nXAGZj0EE7,apple_id_account,yes,
62,@133462 @AppleSupport @335047 I was given a replacement guarantee for 10 days so why should I go to Apple Service centre for this? https://t.co/mjTz1Bpfvn,@335046 We'd like to look into this to see how we can help. Please connect with us in DM to get started: https://t.co/GDrqU22YpT,repair_support,no,
63,"@AppleSupport that itunes performance on windows is horrible... i don't bought apple music to wait 1 min while opening itunes... 
 1/2",@194215 Let's look into this together. Let us know which version of Windows you have installed and what is the current iTunes version?,apps_features,no,
64,@115858  @AppleSupport why has your in store customer service gone down so rapidly🤔,@573144 Meet us in DM and tell us more about your experience. We'd like to help: https://t.co/GDrqU22YpT,repair_support,no,
65,"@AppleSupport Why is my debit card not accepted anymore since updating? I have no need to purchase anything, and it won’t let me update apps until I have a valid payment option, it’s kinda frustrating","@678576 Thanks for reaching out! We can definitely look into this with you. This article outlines payment methods accepted via the iTunes Store, App Store, and iBooks Store: https://t.co/QlgvVVFJem",payments_billing,yes,
66,"Am I the only person experience issues on #IPhone7 with #IOS11 @AppleSupport ? It’s freezes, crashes, getting hotter quickly. what the heck?","@346406 We're here to help you!  Are you running 11.0.3 right now?  What prompts the freezing, if you've noticed?",device_performance,no,
67,@AppleSupport https://t.co/XGBPN7HSYO not working. Not able to login. Keep getting connection error,@684217 Let's take a look at this together. Send us a DM with the device you're currently using and we'll continue from there. https://t.co/GDrqU22YpT,apple_id_account,yes,
68,@AppleSupport right before you tweeted me this i tried disconnecting and reconnecting to the internet and it worked! thank u for replying fast tho :),"@807882 It's our pleasure. Glad to hear it's working now. If you need anything else, don't hesitate to let us know.",other_unclear,no,
69,Charged my iPhone all night and still only at 40% what the hell @AppleSupport it seems to be draining even! I was at 41% a minute ago!,"@572932 We know how important it is to have power for your iPhone. We've received your DM, and will continue there. Look for a reply shortly.",payments_billing,yes,
70,@AppleSupport HOW CAN RECOVER A PASSWORD THAT HAS BEEN FORGOTTEN FOR 6 YEARS FROM A 3GS IPHONE PLS HALP,"@326305 We'd like to help. Are you referencing your Apple ID password, or the Passcode Lock for your iPhone?",apple_id_account,yes,
71,@AppleSupport does iOS 11 have  auto fill credit card info when making a purchase?,@361636 Thanks for reaching out us about this. Auto-fill is a feature you would need to turn on in your settings.,payments_billing,yes,
72,@AppleSupport I am not sure if I am charged from Apple or iTunes? I’m just searching about the issue. I’ve cancelled my credit card as well. Do you get any complaint about this subject?,"@211150 If you're not sure whom the charge is coming from, we recommend that you continue to work with your bank. You can also use this link to identify and report phishing emails: https://t.co/LNMCdqt6fD",payments_billing,yes,
73,@616080 Seriously I’m so sick of this sh*t. My 6S barely 2yrs old and slowing down massively  @AppleSupport,"@616079 Let’s partner to get this sorted out. DM us the iOS version your iPhone is on, and we’ll do all we can to help. https://t.co/GDrqU2kzhr",device_performance,no,
74,"iPhone won’t stay powered on, iPod charging port broken, iPad is starting not to charge. @115858 sucks. #applesucks","@593555 We'd love to help resolve these issues.  Please DM us and let us know which iPhone and iOS version you're using, to start. https://t.co/GDrqU2kzhr",battery,no,
75,"Bought new earphones because I thought they finally broke after 3 years, but realized it was the flimsy af @115858 audio jack adapter","@666104 That's not an expectation. So you are stating the port on your device is not working instead of the accessory item itself, correct?",orders_sales,yes,
76,@AppleSupport @TwitterSupport I thought the issue with icons not displaying correctly was a bug fix for watchOS 4.1? #AppleWatch https://t.co/r8h9zMExx7,"@123703 We'd be happy to look into this display issue with you. To start, can you tell us which Apple Watch you're using?",apps_features,no,
77,@AppleSupport Can you help me figure out the health of my iPhone battery?,@592401 There can be many factors which affect the performance of your iPhone battery. We're happy to look into this with you. DM us. https://t.co/GDrqU22YpT,battery,no,
78,@AppleSupport I'm having a situation with my phone not wanting to update and your website won't let me put in a request to have somebody call me send help,@721220 Help has arrived. What's happening when you try to update your iPhone? Error message? Please use the link below to send us a DM. https://t.co/GDrqU22YpT,software_update,no,
79,"@AppleSupport Hey, the display on my 2015 MacBook Pro is getting a LOT of keyboard imprints and splotches.. it’s still under warranty. Help!",@724386 We're here to help! Join us in DM with additional details and we'll look into this together: https://t.co/GDrqU22YpT,apps_features,no,
80,@AppleSupport Hi! Is there a way to turn OFF the discoverable option while having the Bluetooth on? I need to have it on for my Apple Watch.,"@543357 We're glad to help! Please DM us and let us know which model of iPhone you're using, and what you're looking to accomplish. https://t.co/GDrqU22YpT",apps_features,no,
81,@AppleSupport why my payment method is declined!! I don’t have any problem in my credit card and i pay all my bills in apple!,@748091 We want to help. DM us and we'll go from there. https://t.co/GDrqU22YpT,payments_billing,yes,
82,@AppleSupport No. I bought another pair from duty fre in Dubai,@433943 Were these Apple certified headphones? Let's meet in DM so we can gather more information. https://t.co/GDrqU22YpT,orders_sales,yes,
83,"Well @115858 I honestly dunno if #iOS11 rendering my phone useless by killing my battery life is a cynical ploy to get me to upgrade or just incompetent software engineering. If the former, it has worked. I shall be upgrading to @125607
Last iPhone I will ever buy. 😐",@258952 We’re here to help. Please DM us the device model you’re using so we can better assist you. https://t.co/GDrqU22YpT,battery,no,
84,"@AppleSupport the “system” storage my iphone 6 plus keeps getting bigger, usually after I delete photos/videos. Currently at 7.38GB which seems too high for just the OS, I assume photos aren’t being deleted properly. How can I purge it?",@716718 We want to take a look into this. Can you meet us in DM with a screenshot of what shows in your iPhone Storage? https://t.co/GDrqU22YpT,other_unclear,no,
85,@AppleSupport 9/10 Thats the count touch id fails to recognise my 2 times registar thumb on my month old iPhone you should replace this,@327480 Let's look in to this together and get it figured out. What type of iPhone do you have and which version of the iOS is on it?,repair_support,no,
86,"@AppleSupport when my daughter updated her phone, I got a request to allow her access but shown her device to be 200 miles away?!! Why?",@276724 Hi there. We're happy to look into this. Send us a DM and we'll go from there. https://t.co/GDrqU2kzhr,software_update,no,
87,@AppleSupport Terrible service in your cardiff store telling me my expectations are too high after being referred by a premium reseller.,@299976 We want to help. Reach out to us in DM and tell us a bit about what happened. https://t.co/GDrqU22YpT,repair_support,no,
88,"Dear @AppleSupport, 
My IPhone SE’s battery is draining faster then usual. 
Please advice.","@454909 We're here to help. DM us with the iOS version running on your iPhone, and we'll find a solution. https://t.co/GDrqU22YpT",battery,no,
89,"@469825 @115858 Literally have charged my phone 4 times today, keyboard has a glitch and phone freezes 👌🏼",@469824 Hey there. We'd like to help. Send us a DM with more details and we'll help you there. https://t.co/GDrqU22YpT,payments_billing,yes,
90,@115858 @AppleSupport: after download of IOS 11.2 my iPhone 6 become very slow &amp; reboots itself. Is this a marketing strategy to sell 8 &amp; X,"@291665 Your iPhone is important to you; we'll do all we can to help. To start, let's connect in DM: https://t.co/GDrqU22YpT",device_performance,no,
91,@AppleSupport everything's fine now. but the new song from the album I preordered came two hours late :/,@470001 Your experience is important to us. We welcome feedback about delivery of newly released music here: https://t.co/NOl6FvArt2,orders_sales,yes,
92,"@AppleSupport No, just the Apple weather app and the Apple weather widget","@130266 Just to confirm, did you take these screenshots within the similar time frame?",apps_features,no,
93,@AppleSupport you guys charged me twice for a service! https://t.co/g90cPoHSsr,@342728 Our iTunes Store team would be happy to help you look into what's going on. Reach them here:  https://t.co/SDIe7UiyJN,payments_billing,yes,
94,"@AppleSupport hi, I had money removed from my account only for my payment method to be declined later and no purchase. Refund please.","@209074 For the best assistance with this, connect with our iTunes Store team. You can connect with them here: https://t.co/SDIe7UiyJN",payments_billing,yes,
95,@AppleSupport how do I get to the Now Playing screen of watchOS without installing the Now Playing complication?,@550723 Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together. https://t.co/GDrqU22YpT,repair_support,no,
96,the new ios bullshitting on everyone smh my phones slower and lags LAGS ffs @115858 y u do dis to us,@536679 Let's team up to figure out what's happening. DM us with what type of iPhone you're using and we'll go from there. https://t.co/GDrqU22YpT,device_performance,no,
97,"Why is every capitalized ""I"" a question mark? I ain't even update my phone... @AppleSupport",@624070 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,software_update,no,
98,@AppleSupport my phone was working PERFECTLY but after the last update it’s AWFUL! Pleeeeez FIX IT!!,"@143530 We'd be happy to look this over with you. Please meet us in DM so we may gather information, and better assist. https://t.co/GDrqU22YpT",software_update,no,
99,"@AppleSupport Thanks.  Not a problem with my phone,  problem with the latest iOS update.  Installed 11.1 and it seems even glitchier than 11.0",@532935 We'd like to review this further for you. Please DM us to get started. https://t.co/GDrqU22YpT,software_update,no,
100,"Apple fucked us all, my phone can’t hold a charge anymore and I have the fucking 7.  Literally my battery goes down a percent every minute that im on it. @115858",@691145 We’re here to help. Please DM us the software version you’re using so we can better assist you. https://t.co/GDrqU22YpT,battery,no,
101,@AppleSupport My iCloud Photo Library keeps duplicating most (but not all) photos. Been occurring for a while now. All software up to date.,@176784 Let's take a look. When was the first time you noticed this issue? Any other devices using the same iCloud Photo Library?,apple_id_account,yes,
102,".@AppleSupport phone 6 Plus now has to be recharged twice daily. This is BS, unacceptable. updates are CRAP. This 1yr old phone is worthless",@563391 A long-lasting battery is important. Which version of iOS are you using? Check Settings &gt; General &gt; About. Let us know in DM. https://t.co/GDrqU22YpT,payments_billing,yes,
103,".@AppleSupport why does my screen say this but, I’ve been charged. Yes all is up to date. Yes log in correct. One heck of a month w/@115858 https://t.co/TyEQDLvtcX",@348889 For help with your subscriptions you can contact our iTunes Store support team here: https://t.co/SDIe7UiyJN,payments_billing,yes,
104,Getting bored now of the @115858 updates screwing with my phone.. something is seriously wrong,@274131 We can help. Can you tell us what you're experiencing? Meet us in DM with details. https://t.co/GDrqU22YpT,software_update,no,
105,"After iPhone update, my battery dies quicker than it charges when using my sleep/alarm app. On 1% when my alarm woke me 😮😡 @AppleSupport",@123493 Send us a DM and let us know what version of iOS 11 you're running. We'll go from there. https://t.co/GDrqU22YpT,battery,no,
106,Over 100 of my photos on my phone randomly deleted. I don’t know what happened but I can’t seem to get the photos back @AppleSupport...what happened?!,"@629929 Let's get you to the Photos Experts. Choose Apps &amp; Software &gt; iOS Apps &gt; Photos for iOS

 https://t.co/IBIY3vMgPj https://t.co/GDrqU22YpT",apps_features,no,
107,@AppleSupport I tried to order an iPhone 8 tonight over the phone and it was awful. The system wouldn’t process it and I need a new phone.,@499767 We want to make sure you get to the right place for help. Reach out to our Online Store team here: https://t.co/8yjRd1Xo0i,orders_sales,yes,
108,@AppleSupport Need to edit an address on my iPhone order but chat and phones are all disabled? Help.,"@573675 Are you able to edit the address for your order using this link? https://t.co/jr7MZtpSNY If you can't change it there, please DM us. https://t.co/GDrqU22YpT",orders_sales,yes,
109,@115858 @AppleSupport how do you delete apps on the Apple TV?!?!? I'm holding down on the app till it wiggles then holding down play and nope,@165240 This article can help with that https://t.co/HhL1HiRans,apps_features,no,
110,@115858 Shit almost made me miss my exam too. Had to stay up all night cause I was worried that battery would die and my alarm wouldn't go off.,"@614694 Not the type of experience we want for you to have with your iPhone, reach out to us via DM and we can help resolve these issues. https://t.co/GDrqU22YpT",battery,no,
111,Je sais pas c’est quoi ce problème avec iCloud encore mais je viens  de perdre mes contacts mes sms et pas mal de dossier sur word merci @AppleSupport 😂😂,@743082 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,apple_id_account,yes,
112,@115858 @AppleSupport iOS 11.1 still does not fix my MASSIVE battery drain in my iPhone 7 purchased this summer. This is unacceptable.,@602123 Let’s work together to find out what's happening. Reach out to us in DM and let us know when you first noticed this. https://t.co/GDrqU22YpT,battery,no,
113,"@AppleSupport Yes, I’d love to tell you more. The phone just randomly freezes, standard apps on the phone just freeze when using them, volume is not the same (volume limit is off btw) and it’s just generally slower with the updates. I’m on 11.0.3 of the software as well. Not happy!","@150777 Thanks for letting us know, we’ll work with you to get to the bottom of this. Can you start by confirming if these issues continue after updating to the latest iOS? https://t.co/80YRnjDFDk Check for a recent backup before updating.",device_performance,no,
114,How does my fully charged phone go to 26% in a matter of 3 hours @115858 @AppleSupport ?? #DoesNotCompute #FixItPlease,@411420 We've got this. We know how vital the battery is &amp; we can definitely help. Send us a DM including which iPhone model you have. https://t.co/GDrqU22YpT,payments_billing,yes,
115,that stupid question mark glitch everywhere seen it on ig too 🙄 look @115858 i can't afford the upgrade I'm still on a payment plan 😑,@465035 We are aware of this issue and are working hard to find a resolution. We do have a workaround: https://t.co/xXaXeeSRt9,payments_billing,yes,
116,"@AppleSupport Turning off the ❤️monitor, wrist activation and Bluetooth defects the object of the actual ⌚️",@200628 Let's take a closer look at your Apple Watch together in DM. https://t.co/GDrqU22YpT,other_unclear,no,
117,@AppleSupport iphoneX arrived while I was traveling outside US 5 weeks and unable to send in the trade in.  I called today to ask for a one day extension to send in the iPhone 6s. Was disconnected after 16 min hold.  I do not have a response.  Please advise.  order# W496216560,@792696 We know how exciting it is to get a new iPhone! Our Online Store Support team will be able to best assist with orders and trade-ins. Please contact them directly following this link: https://t.co/8yjRd1Xo0i,orders_sales,yes,
118,"@AppleSupport IPhone 7, 11.1 with recent updates.",@440342 Got it. Let's meet up in DM and discuss it further. https://t.co/GDrqU22YpT,software_update,no,
119,Hey @AppleSupport &amp; @179540 ios11&amp; entune updates have made using Bluetooth in my rav4 useless.  When are you fixing this?,@565282 We'd be happy to help with your Bluetooth. Can you DM us the exact version of iOS 11 running and device model? https://t.co/GDrqU22YpT,software_update,no,
120,"@AppleSupport eye bought the 8 though, can eye have my eyes back?????????",@523940 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,orders_sales,yes,
121,Phone been unusable allllll day on this spin wheel shit. It finally come back on and now I’m locked out my own iCloud for 24 hours due to @115858 phones being pieces of shit. Guess who ain’t got nobody number? 😔,@758998 We'd like to help. Go ahead and DM us some more details about this and we can work together. https://t.co/GDrqU22YpT,apple_id_account,yes,
122,@115858 AND MY BANK CHARGED TRANSFER FEES SO I HAVE LITERALLY $3 IN MY ACCOUNT NOW WHAT IN THE HELL @AppleSupport @115858 !!!!!!!!!!!!,"@245529 If you have unauthorized charges, we're happy to look into it with you. Go ahead and contact us here: https://t.co/SDIe7UiyJN",payments_billing,yes,
123,@115858 @applesupport fix the bug with high sierra! You can go into system preferences then user and groups and press the lock and unlock it with only the username root! Then the person can access your users and passwords and whatever,@819836 We'd like to help. Let us know which country you're located in via DM to get started. https://t.co/GDrqU22YpT,apple_id_account,yes,
124,@AppleSupport my phone keeps turning off during the day and deletes all my images that slowly come back afterwards but it keeps doing it,"@590954 That is not expected, and we want to get to the bottom of that with you.  Please send us a DM with the iOS you are using. https://t.co/GDrqU22YpT",device_performance,no,
